task_id,source,result,n_smells,smells,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,meteor,codebleu,ast_similarity,codebert_score,bertscore,n_output_tokens
HumanEval_24,humaneval,pass,0,,5.000,3.000,99.902,34.869,2.800,97.634,3.000,0.000,1.000,3.068,53.393,63.097,78.571,,53.472,78.571,89.407,95.315,85
HumanEval_25,humaneval,pass,1,magic_number,15.000,5.000,86.036,114.221,10.000,1142.206,5.000,20.000,1.000,3.154,37.152,47.827,50.746,,32.696,75.610,87.590,93.546,245
HumanEval_26,humaneval,fail,0,,9.000,3.000,74.039,4.755,0.500,2.377,3.000,0.000,3.000,1.614,4.052,25.713,22.222,,18.810,37.838,78.617,83.406,58
HumanEval_27,humaneval,pass,0,,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,3.081,15.845,63.566,36.364,,45.268,58.333,87.121,92.180,28
HumanEval_28,humaneval,pass,0,,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.074,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,62
HumanEval_29,humaneval,pass,0,,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.389,45.788,75.418,70.000,,58.153,100.000,98.350,98.344,40
HumanEval_30,humaneval,pass,0,,3.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,0.000,2.897,24.808,46.285,66.667,,57.359,100.000,97.467,97.348,36
HumanEval_31,humaneval,pass,0,,7.000,4.000,67.905,53.774,3.571,192.052,4.000,0.000,2.000,1.944,48.717,74.040,79.070,,52.719,86.842,92.718,97.152,152
HumanEval_32,humaneval,fail,2,dead_code;magic_number,15.000,6.000,83.000,103.726,3.429,355.633,4.000,6.667,9.000,3.533,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,371
HumanEval_33,humaneval,pass,0,,7.000,4.000,99.777,25.266,2.250,56.849,1.000,42.857,3.000,2.772,4.019,18.755,22.222,,20.480,44.000,78.957,86.328,122
HumanEval_34,humaneval,pass,0,,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,3.235,57.794,70.323,88.889,,45.486,86.957,97.963,97.099,92
HumanEval_35,humaneval,pass,0,,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.705,0.518,19.059,11.765,,25.390,27.778,77.019,81.301,26
HumanEval_36,humaneval,pass,0,,8.000,4.000,66.907,68.532,2.400,164.478,4.000,0.000,3.000,3.228,33.768,38.748,56.140,,29.912,70.312,87.635,93.824,74
HumanEval_37,humaneval,pass,0,,11.000,3.000,88.837,25.266,2.250,56.849,4.000,18.182,4.000,2.650,17.507,29.058,22.222,,18.664,51.948,79.034,90.100,106
HumanEval_38,humaneval,fail,1,magic_number,10.000,8.000,83.644,158.325,5.031,796.571,2.000,40.000,4.000,3.251,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,240
HumanEval_39,humaneval,fail,0,,17.000,4.000,58.879,91.738,3.500,321.084,15.000,0.000,6.000,1.689,35.068,52.304,49.153,,32.801,72.000,87.131,94.563,141
HumanEval_40,humaneval,pass,0,,14.000,5.000,59.702,122.624,3.077,377.304,9.000,0.000,3.000,1.816,35.396,46.466,51.282,,27.276,67.429,85.306,92.809,116
HumanEval_41,humaneval,pass,0,,4.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,0.000,7.787,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,31
HumanEval_42,humaneval,pass,0,,2.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,0.000,3.849,29.847,53.080,71.429,,59.257,100.000,97.593,97.033,35
HumanEval_43,humaneval,pass,0,,7.000,3.000,73.706,11.610,1.000,11.610,3.000,0.000,2.000,2.920,5.561,31.479,40.000,,19.447,50.000,77.977,90.364,43
HumanEval_44,humaneval,pass,1,magic_number,9.000,4.000,65.244,82.045,4.667,382.875,3.000,0.000,2.000,2.181,26.157,54.570,37.209,,39.155,67.368,82.993,91.975,83
HumanEval_45,humaneval,pass,0,,2.000,1.000,87.251,15.510,1.000,15.510,0.000,0.000,0.000,5.401,75.984,83.701,88.889,,69.611,100.000,92.619,94.754,56
HumanEval_46,humaneval,pass,1,magic_number,10.000,5.000,63.705,93.765,2.000,187.531,6.000,0.000,1.000,2.177,25.887,25.851,29.730,,19.183,50.279,79.444,88.363,105
HumanEval_47,humaneval,pass,0,,8.000,2.000,93.697,91.377,6.000,548.259,2.000,0.000,2.000,2.222,48.620,51.934,65.455,,37.530,84.615,90.303,94.641,150
HumanEval_48,humaneval,pass,0,,2.000,1.000,50.352,11.610,1.000,11.610,0.000,0.000,0.000,1.956,1.811,15.354,27.273,,2.957,29.091,77.545,83.727,81
HumanEval_49,humaneval,pass,0,,11.000,3.000,86.130,105.486,4.500,474.687,3.000,0.000,0.000,2.959,3.437,24.187,27.027,,27.491,55.556,81.528,88.023,189
HumanEval_50,humaneval,pass,0,,4.000,4.000,85.161,101.950,1.500,152.925,0.000,0.000,3.000,2.480,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,123
HumanEval_51,humaneval,pass,1,magic_number,2.000,3.000,67.731,4.755,0.500,2.377,0.000,0.000,2.000,2.931,32.877,51.396,60.000,,44.773,88.000,91.897,91.583,141
HumanEval_52,humaneval,pass,0,,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,1.000,3.929,6.661,19.181,31.579,,10.550,29.412,81.374,81.701,30
HumanEval_53,humaneval,pass,0,,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,2.196,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,62
HumanEval_54,humaneval,fail,0,,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,1.000,2.917,48.327,52.800,60.000,,55.032,100.000,96.135,96.913,32
HumanEval_55,humaneval,pass,0,,8.000,3.000,94.853,23.265,1.500,34.897,4.000,0.000,1.000,1.921,8.960,28.616,35.000,,24.052,49.438,80.906,89.267,107
HumanEval_56,humaneval,pass,1,magic_number,9.000,6.000,66.172,55.351,2.857,158.145,8.000,0.000,2.000,2.159,20.484,38.379,36.364,,15.334,47.312,81.804,93.020,65
HumanEval_57,humaneval,pass,0,,3.000,4.000,76.508,25.266,2.250,56.849,1.000,0.000,2.000,2.071,4.744,14.172,26.316,,13.318,45.455,75.456,83.825,58
HumanEval_58,humaneval,pass,0,,3.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,2.000,2.988,3.484,24.612,23.077,,6.042,34.483,81.635,83.687,51
HumanEval_59,humaneval,pass,1,magic_number,11.000,5.000,89.019,88.811,5.000,444.053,5.000,36.364,3.000,2.919,17.294,32.132,37.037,,20.616,45.752,82.482,91.655,201
HumanEval_60,humaneval,pass,0,,2.000,1.000,57.383,4.755,0.500,2.377,0.000,0.000,2.000,2.371,63.405,83.702,90.909,,36.600,96.296,97.129,98.028,115
HumanEval_61,humaneval,pass,1,magic_number,9.000,6.000,66.172,55.351,2.857,158.145,8.000,0.000,2.000,1.873,20.247,38.202,36.364,,15.334,47.312,81.349,92.585,65
HumanEval_62,humaneval,pass,0,,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,2.000,3.193,21.640,39.424,57.143,,28.742,72.000,88.259,92.573,39
HumanEval_63,humaneval,pass,1,magic_number,9.000,4.000,64.480,105.486,3.273,345.227,5.000,0.000,2.000,1.824,78.562,80.162,85.714,,72.470,95.327,97.023,96.566,81
HumanEval_64,humaneval,fail,0,,,,,,,,,,,2.062,3.218,15.733,16.162,,27.367,,65.894,84.068,512
HumanEval_65,humaneval,fail,0,,5.000,2.000,69.410,49.829,3.000,149.487,1.000,0.000,2.000,2.978,27.044,54.960,40.000,,25.787,58.065,87.648,91.192,49
HumanEval_66,humaneval,pass,0,,2.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,4.608,26.251,42.094,42.857,,14.717,61.538,89.701,91.408,25
HumanEval_67,humaneval,fail,0,,6.000,1.000,69.169,15.510,1.000,15.510,0.000,50.000,2.000,4.417,8.933,25.702,20.513,,20.734,45.098,74.126,82.823,307
HumanEval_68,humaneval,pass,0,,13.000,6.000,61.354,85.837,3.545,304.330,6.000,0.000,2.000,2.244,19.608,36.104,30.769,,28.062,57.746,79.056,89.860,101
HumanEval_69,humaneval,fail,0,,7.000,3.000,73.706,11.610,1.000,11.610,3.000,0.000,2.000,3.200,3.946,16.684,22.222,,11.993,40.777,80.746,90.417,44
HumanEval_70,humaneval,pass,0,,10.000,3.000,100.000,0.000,0.000,0.000,3.000,40.000,4.000,2.345,29.096,41.784,44.000,,22.062,58.120,83.811,91.060,220
HumanEval_71,humaneval,pass,0,,7.000,4.000,93.604,239.722,6.263,1501.419,2.000,57.143,2.000,1.941,86.170,80.635,88.235,,79.844,92.228,96.854,97.840,130
HumanEval_72,humaneval,pass,0,,2.000,2.000,50.921,38.054,2.000,76.107,1.000,0.000,1.000,3.309,3.421,13.459,22.222,,9.117,19.565,77.593,84.219,246
HumanEval_73,humaneval,pass,0,,9.000,3.000,66.217,62.270,3.429,213.496,3.000,0.000,1.000,2.268,26.228,39.167,40.000,,24.535,62.609,83.431,92.262,68
HumanEval_74,humaneval,fail,0,,3.000,4.000,60.087,4.755,0.500,2.377,1.000,0.000,2.000,2.760,4.396,33.222,40.000,,13.486,55.172,84.177,85.699,237
HumanEval_75,humaneval,fail,1,magic_number,19.000,6.000,83.452,147.161,4.125,607.040,20.000,0.000,4.000,2.563,36.500,48.283,50.407,,29.747,60.099,85.428,93.734,207
HumanEval_76,humaneval,pass,0,,8.000,5.000,83.611,99.912,7.714,770.749,4.000,0.000,0.000,2.738,30.678,38.815,60.000,,36.401,64.444,88.480,93.112,192
HumanEval_77,humaneval,fail,0,,2.000,1.000,51.060,38.039,2.000,76.078,0.000,0.000,1.000,4.619,46.652,50.491,73.684,,16.418,78.431,91.365,94.325,128
HumanEval_78,humaneval,pass,0,,3.000,3.000,53.188,4.755,0.500,2.377,0.000,0.000,1.000,4.515,26.486,39.169,46.809,,25.983,58.667,82.347,87.330,353
HumanEval_79,humaneval,pass,0,,11.000,3.000,65.360,33.688,5.333,179.671,2.000,0.000,4.000,2.179,0.908,23.256,20.000,,36.511,24.096,74.609,81.076,100
HumanEval_80,humaneval,pass,1,magic_number,7.000,6.000,79.735,133.980,3.500,468.929,5.000,0.000,2.000,2.331,100.000,100.000,97.222,,93.137,80.460,99.327,99.529,190
HumanEval_81,humaneval,fail,0,,30.000,,,,,,,0.000,,2.695,31.115,65.254,52.991,,56.277,,88.122,86.016,512
HumanEval_82,humaneval,pass,1,magic_number,9.000,4.000,90.227,41.513,2.286,94.887,4.000,22.222,4.000,2.723,54.833,73.285,68.000,,62.045,81.250,91.856,96.235,164
HumanEval_83,humaneval,fail,0,,5.000,2.000,88.926,59.795,2.571,153.758,2.000,60.000,0.000,4.543,45.935,62.184,69.565,,63.727,77.551,90.772,92.960,132
HumanEval_84,humaneval,pass,0,,3.000,2.000,100.000,0.000,0.000,0.000,0.000,66.667,4.000,5.380,46.696,59.891,53.846,,24.637,77.193,91.475,93.641,190
HumanEval_85,humaneval,pass,0,,2.000,3.000,80.852,15.510,1.000,15.510,0.000,0.000,3.000,5.632,86.614,90.092,100.000,,80.803,97.297,99.786,99.353,60
HumanEval_86,humaneval,fail,0,,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,6.561,33.373,50.861,70.000,,18.407,79.167,91.865,92.593,143
HumanEval_87,humaneval,fail,0,,8.000,3.000,71.325,11.610,1.000,11.610,3.000,0.000,4.000,1.937,15.826,26.431,36.923,,19.082,60.403,82.488,86.997,83
HumanEval_88,humaneval,fail,0,,8.000,2.000,94.123,38.054,2.000,76.107,2.000,25.000,2.000,2.403,26.976,46.674,40.000,,20.429,58.140,83.723,87.891,104
HumanEval_89,humaneval,fail,0,,16.000,4.000,87.929,79.954,1.909,152.640,8.000,0.000,5.000,3.077,11.130,38.719,28.205,,34.524,49.682,82.407,91.026,221
HumanEval_90,humaneval,fail,1,magic_number,6.000,2.000,78.015,4.755,0.500,2.377,1.000,0.000,2.000,2.291,41.293,52.430,50.000,,22.059,57.692,91.226,91.209,48
HumanEval_91,humaneval,fail,0,,7.000,3.000,93.197,4.755,0.500,2.377,3.000,0.000,3.000,4.557,16.371,48.985,31.579,,17.978,39.437,78.374,84.242,148
HumanEval_92,humaneval,pass,0,,2.000,6.000,78.322,110.361,2.923,322.595,2.000,0.000,1.000,2.636,76.318,71.279,81.481,,70.812,92.562,93.100,92.168,53
HumanEval_93,humaneval,fail,0,,13.000,4.000,86.158,66.608,1.800,119.894,7.000,15.385,5.000,3.862,7.985,40.131,28.947,,21.608,36.986,82.034,83.654,212
HumanEval_94,humaneval,pass,0,,14.000,9.000,60.917,72.000,3.600,259.200,8.000,0.000,6.000,2.427,15.545,32.295,45.333,,19.910,38.961,82.458,91.901,111
HumanEval_95,humaneval,fail,0,,6.000,5.000,74.897,11.610,1.000,11.610,2.000,0.000,4.000,2.354,13.534,26.457,31.915,,10.999,50.286,73.149,83.203,59
HumanEval_96,humaneval,pass,2,inefficient_loop;magic_number,18.000,9.000,58.401,75.284,3.500,263.495,9.000,0.000,5.000,1.518,14.902,24.613,33.333,,12.406,47.458,79.885,90.386,122
HumanEval_97,humaneval,pass,0,,5.000,1.000,75.063,25.266,1.200,30.319,0.000,40.000,1.000,4.286,8.077,30.322,42.857,,26.462,58.182,86.259,89.060,170
HumanEval_98,humaneval,fail,1,magic_number,2.000,4.000,58.009,43.020,2.000,86.039,1.000,0.000,3.000,3.702,8.623,27.813,43.243,,11.133,49.315,83.904,85.484,102
HumanEval_99,humaneval,fail,0,,7.000,2.000,72.561,33.000,3.500,115.500,2.000,0.000,3.000,3.909,7.363,22.782,32.836,,16.706,36.486,76.955,88.446,220
HumanEval_100,humaneval,pass,0,,2.000,2.000,53.202,15.510,1.000,15.510,0.000,0.000,1.000,5.251,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,124
HumanEval_101,humaneval,fail,1,magic_number,2.000,2.000,64.976,4.755,0.500,2.377,1.000,0.000,1.000,2.520,3.008,14.324,36.842,,11.707,37.838,77.134,84.586,129
HumanEval_102,humaneval,fail,0,,9.000,5.000,91.209,121.114,6.667,807.424,5.000,0.000,1.000,3.168,22.066,42.472,51.064,,34.311,50.980,86.451,91.454,163
HumanEval_103,humaneval,fail,0,,6.000,2.000,68.906,58.810,4.583,269.547,1.000,0.000,4.000,3.645,43.987,43.445,54.545,,36.176,76.786,86.984,92.022,57
HumanEval_104,humaneval,fail,0,,9.000,1.000,67.985,38.039,3.200,121.725,6.000,0.000,3.000,2.622,10.730,26.391,22.222,,6.479,46.154,77.832,89.173,72
HumanEval_105,humaneval,pass,1,magic_number,14.000,4.000,69.704,140.000,1.643,230.000,21.000,7.143,2.000,1.942,7.004,30.322,40.336,,12.425,44.444,73.740,85.228,182
HumanEval_106,humaneval,pass,0,,3.000,3.000,78.124,38.039,2.000,76.078,1.000,0.000,3.000,3.336,20.974,36.157,45.902,,17.334,21.374,81.006,82.013,52
HumanEval_107,humaneval,pass,0,,12.000,4.000,61.909,78.138,2.364,184.689,7.000,0.000,3.000,1.609,57.770,58.595,70.707,,51.108,82.635,95.018,95.884,101
HumanEval_108,humaneval,fail,0,,8.000,3.000,70.232,24.000,1.500,36.000,4.000,0.000,5.000,2.113,16.312,32.760,43.182,,20.017,49.425,85.309,90.223,90
HumanEval_109,humaneval,fail,0,,11.000,7.000,86.820,155.115,4.053,628.622,7.000,27.273,5.000,2.707,48.317,59.799,60.417,,38.187,53.266,90.724,93.295,152
HumanEval_110,humaneval,pass,0,,7.000,6.000,70.647,51.891,2.857,148.261,2.000,42.857,1.000,2.769,13.317,40.032,57.971,,19.145,51.786,86.420,89.418,311
HumanEval_111,humaneval,fail,0,,8.000,4.000,84.216,11.610,1.000,11.610,1.000,37.500,4.000,2.964,2.539,17.546,24.615,,10.800,27.972,71.606,86.188,234
HumanEval_112,humaneval,pass,0,,4.000,3.000,100.000,24.000,1.500,36.000,0.000,50.000,1.000,3.151,52.034,67.576,76.190,,65.248,84.337,89.566,92.740,78
HumanEval_113,humaneval,fail,0,,6.000,4.000,85.843,15.510,1.000,15.510,1.000,0.000,4.000,5.343,18.764,46.734,52.500,,24.839,72.258,84.835,90.268,250
HumanEval_114,humaneval,fail,0,,8.000,3.000,72.441,11.610,1.000,11.610,2.000,0.000,2.000,1.934,24.913,42.865,45.946,,15.139,45.312,86.274,91.905,71
HumanEval_115,humaneval,fail,0,,4.000,2.000,81.856,4.755,0.500,2.377,0.000,0.000,2.000,3.517,0.003,6.677,6.393,,17.956,47.458,62.291,76.303,50
HumanEval_116,humaneval,pass,0,,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,2.621,49.223,66.712,86.957,,28.537,78.431,95.080,94.559,41
HumanEval_117,humaneval,fail,0,,7.000,2.000,97.992,22.459,1.000,22.459,1.000,28.571,2.000,3.753,1.517,11.985,14.286,,9.223,34.545,67.798,84.886,81
HumanEval_118,humaneval,pass,0,,6.000,5.000,68.407,98.099,4.364,428.069,4.000,0.000,2.000,1.982,51.735,65.182,78.049,,47.167,68.293,91.091,92.350,75
HumanEval_119,humaneval,fail,1,magic_number,18.000,4.000,86.647,98.099,4.364,428.069,19.000,27.778,5.000,2.687,25.614,36.270,48.980,,34.155,56.684,84.088,94.102,252
HumanEval_120,humaneval,fail,0,,4.000,1.000,100.000,0.000,0.000,0.000,0.000,50.000,1.000,2.687,13.220,34.048,44.444,,10.573,58.333,85.049,86.877,59
HumanEval_121,humaneval,pass,0,,3.000,4.000,76.937,53.774,2.500,134.436,1.000,0.000,2.000,2.598,56.395,69.159,82.353,,68.145,94.737,94.893,96.478,49
HumanEval_122,humaneval,pass,0,,3.000,3.000,58.047,18.095,1.000,18.095,0.000,0.000,1.000,5.453,34.460,39.607,56.000,,36.097,78.571,85.701,92.031,172
HumanEval_123,humaneval,pass,0,,14.000,3.000,60.649,98.099,4.364,428.069,10.000,0.000,3.000,1.959,18.998,38.008,40.000,,22.022,44.318,84.055,91.758,122
HumanEval_124,humaneval,pass,2,dead_code;magic_number,19.000,13.000,77.988,203.560,4.167,848.168,13.000,21.053,3.000,1.752,65.249,73.469,77.551,,54.139,67.384,92.382,94.901,216
HumanEval_125,humaneval,pass,1,magic_number,7.000,6.000,67.753,72.000,2.727,196.364,4.000,0.000,4.000,2.618,57.551,66.691,74.576,,59.853,87.603,94.071,96.032,67
HumanEval_126,humaneval,fail,0,,7.000,4.000,74.828,38.039,2.000,76.078,4.000,0.000,3.000,1.976,14.311,36.431,43.836,,12.561,53.793,85.152,91.741,295
HumanEval_127,humaneval,fail,0,,18.000,7.000,58.337,84.000,4.200,352.800,7.000,0.000,6.000,1.719,9.589,26.039,40.506,,21.360,41.611,79.763,91.277,146
HumanEval_128,humaneval,pass,0,,7.000,5.000,95.885,57.359,3.571,204.855,6.000,42.857,4.000,2.644,22.784,44.012,47.222,,31.106,64.179,87.010,91.588,111
HumanEval_129,humaneval,pass,0,,22.000,5.000,53.378,240.000,5.000,1200.000,30.000,0.000,3.000,1.602,18.776,29.024,26.455,,25.635,27.778,78.178,89.363,230
HumanEval_130,humaneval,fail,1,magic_number,14.000,6.000,81.873,140.648,6.000,843.888,7.000,0.000,3.000,3.736,43.305,47.168,58.065,,38.553,83.495,89.095,94.146,346
HumanEval_131,humaneval,pass,0,,10.000,4.000,92.926,64.529,4.286,276.554,4.000,0.000,0.000,3.321,7.739,31.160,46.875,,21.190,47.788,82.981,91.534,139
HumanEval_132,humaneval,fail,1,magic_number,9.000,6.000,65.696,64.725,3.056,197.771,8.000,0.000,3.000,1.914,5.877,15.425,16.471,,18.398,45.509,73.047,89.426,61
HumanEval_133,humaneval,pass,0,,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,2.000,3.548,13.551,21.635,25.000,,7.944,54.167,84.893,87.463,29
HumanEval_134,humaneval,fail,0,,9.000,4.000,79.593,39.863,2.333,93.014,4.000,44.444,4.000,2.512,13.863,31.935,34.783,,28.863,56.250,81.096,86.200,240
HumanEval_135,humaneval,fail,0,,5.000,3.000,74.887,22.459,1.875,42.110,3.000,0.000,2.000,2.626,47.773,50.498,64.865,,30.839,68.889,89.527,93.561,42
HumanEval_136,humaneval,pass,0,,12.000,7.000,92.367,28.074,2.250,63.165,4.000,0.000,2.000,2.458,7.416,21.272,29.412,,14.951,40.299,80.629,85.470,216
HumanEval_137,humaneval,fail,0,,11.000,5.000,92.363,9.510,1.000,9.510,5.000,18.182,3.000,1.957,33.173,45.842,58.667,,19.878,66.216,87.300,92.113,86
HumanEval_138,humaneval,pass,1,magic_number,6.000,4.000,99.447,53.774,3.571,192.052,3.000,50.000,0.000,4.777,8.530,23.755,43.478,,41.963,56.522,82.319,86.580,118
HumanEval_139,humaneval,pass,0,,6.000,2.000,89.562,15.510,1.000,15.510,1.000,0.000,2.000,3.657,30.855,37.637,54.054,,49.871,86.154,90.229,93.693,130
HumanEval_140,humaneval,fail,1,magic_number,18.000,7.000,86.168,107.549,5.000,537.744,11.000,5.556,2.000,2.194,12.862,19.648,23.529,,9.906,45.161,78.730,91.067,233
HumanEval_141,humaneval,fail,0,,4.000,2.000,100.000,0.000,0.000,0.000,1.000,0.000,1.000,4.390,1.484,14.792,15.190,,5.970,25.806,68.094,82.597,261
HumanEval_142,humaneval,fail,0,,8.000,4.000,88.516,93.765,2.909,272.772,4.000,0.000,1.000,3.879,23.951,24.815,49.231,,26.553,59.060,87.090,93.039,228
HumanEval_143,humaneval,pass,2,dead_code;magic_number,17.000,3.000,59.026,91.377,4.444,406.118,17.000,0.000,6.000,1.717,24.805,39.708,27.778,,20.119,31.313,77.419,90.715,146
HumanEval_144,humaneval,pass,0,,6.000,1.000,100.000,15.510,1.000,15.510,0.000,50.000,1.000,3.246,1.432,14.488,13.333,,14.329,44.248,76.236,84.868,83
HumanEval_145,humaneval,fail,0,,,,,,,,,,,3.794,14.809,33.784,20.896,,13.655,,77.027,86.352,49
HumanEval_146,humaneval,fail,1,magic_number,6.000,5.000,68.290,101.950,3.692,376.432,4.000,0.000,3.000,2.956,28.524,36.750,52.055,,32.029,54.930,86.201,91.050,71
HumanEval_147,humaneval,pass,1,dead_code,10.000,6.000,62.295,142.624,3.667,522.953,10.000,0.000,1.000,2.078,61.540,66.411,84.536,,67.092,86.809,95.981,98.013,114
HumanEval_148,humaneval,fail,0,,8.000,2.000,76.531,20.897,2.000,41.795,2.000,0.000,2.000,3.183,22.255,45.485,38.710,,37.648,80.488,89.556,93.065,301
HumanEval_149,humaneval,pass,0,,5.000,3.000,100.000,15.510,1.000,15.510,0.000,40.000,2.000,2.947,16.424,35.197,36.364,,13.045,62.366,82.821,87.343,98
HumanEval_150,humaneval,pass,0,,9.000,2.000,94.825,53.774,3.571,192.052,12.000,0.000,3.000,3.086,28.466,51.866,50.000,,32.801,68.132,81.849,92.554,153
